Code,Species,Number,Family,Genus.species,Repro.subst,Repro.behav,Wtr.clmn,Thermal,Trophic,Trophic.SE,Trophic.category,Max.TL,Age.mat,Longevity,Max.fecund,Length.spawn,Spawn.period,Flow,Substrate,Stream.size,Shape.factor,Swim.factor,Gape,Dors.H,Dors.L,Anal.H,Anal.L,Head.L,Head.D
MTS,Mountain sucker,27,Catostomidae,Catostomus platyrhynchus,lithopelagophilic,Open,Open,Cool,2.3,0.18,HERB_INV,25,4,9,3710,2.5,Summer,SM,gravel,generalist,4.541666667,0.35483871,9,0.174311927,0.165137615,0.211009174,0.100917431,0.220183486,0.128440367
NPD,Northern pearl dace,28,Cyprinidae,Margariscus nachtriebi,lithophilic,Open,Open,Cool,3,0.2,HERB_INV,16,2,4,4240,1,Spring,S,generalist,med-small,4.96,0.57,3.5644,0.09,0.09,0.09,0.085,0.22,0.12
NRBD,Northern redbelly dace,29,Cyprinidae,Chrosomus eos,lithophilic,Open,Open,Cool,2.5,0.1,HERB_INV,8,1.5,3,800,3,Summer,S,generalist,small,5.55,0.38,2.8,0.168,0.098,0.147,0.095,0.2,0.1
OSF,Orange sunfish,30,Centrarchidae,Lepomis humilis,lithophilic,Nester,Benthic,Warm,3.6,0.55,PISC_INV,15,1.5,4,4700,3.5,Summer,S,generalist,med-small,3.71,0.44,4.4,0.129,0.328,0.147,0.148,0.31,0.18
OTD,Orangethroat darter,31,Percidae,Etheostoma spectabile,lithophilic,Hider,Benthic,Cool,3.3,0.45,INV,7.2,1,4,1200,2.5,Spring,SM,gravel,medium,5.84,0.82,2.5,0.111,0.386,0.139,0.169,0.24,0.13
PKF,Plains killifsh,32,Fundulidae,Fundulus zebrinus,lithophilic,Hider,Open,Warm,3.2,0.2,HERB_INV,10,1,2.5,250,3,Summer,SM,generalist,generalist,5.32,0.567727273,3.75,0.205333333,0.164388889,0.214333333,0.131777778,0.253333333,0.126666667
PMN,Plains minnow,33,Cyprinidae,Hybognathus placitus,pelagophilic,Open,Open,Warm,NA,NA,HERB,13,1,2,4134,4,Spring-Summer,SM,generalist,med-large,4.3125,0.5,4,0.231884058,0.115942029,0.15942029,0.101449275,0.246376812,0.115942029
PTM,Plains top minnow,34,Fundulidae,Fundulus sciadicus,phytophilic,Open,Open,Warm,3.2,0.2,HERB_INV,9,1.5,3.5,88,2,Spring-Summer,S,generalist,generalist,3.25,0.545454545,3,0.128205128,0.128205128,0.153846154,0.102564103,0.282051282,0.128205128
QBK,Quillback,35,Catostomidae,Carpoides cyprinus,lithopelagophilic,Open,Open,Warm,2.6,0.27,HERB_INV,66,4,10,63779,1,Spring,SM,sand-gravel,generalist,3.21,0.38,16.7,0.243,0.33,0.143,0.068,0.22,0.13
RCS,River carpsucker,36,Catostomidae,Carpoides carpio,lithopelagophilic,Open,Open,Warm,2,0,HERB_INV,64,3,10,300000,1.5,Summer,S,soft-sand,med-large,3.216521739,0.445909091,7.7,0.261947761,0.350723881,0.185208955,0.084776119,0.238134328,0.148358209
RDS,Red shiner,37,Cyprinidae,Cyprinella lutrensis,speleophilic,Open,Benthic,Warm,2.8,0.32,HERB_INV,9,1.5,3,1200,7,Spring-Summer,SMF,generalist,generalist,3.927407407,0.459166667,2.726666667,0.19454023,0.126390805,0.154471264,0.123390805,0.227126437,0.132643678
SAR,Sauger,38,Percidae,Sander canadensis,lithopelagophilic,Open,Open,Warm-Cool,4.1,0.7,PISC_INV,70.5,3,10,100000,2,Spring,SM,sand-gravel,large,5.833333333,0.333333333,7,0.171428571,0.514285714,0.171428571,0.142857143,0.328571429,0.114285714
SDS,Sand shiner,39,Cyprinidae,Notropis stramineus,phytolithophilic,Open,Open,Warm-Cool,2.4,0.2,HERB_INV,8.1,1,3,2660,4,Summer,MF,sand-gravel,generalist,4.940454545,0.465,3,0.213722222,0.121166667,0.157888889,0.101055556,0.227222222,0.116666667
SGC,Sturgeon chub,40,Cyprinidae,Macrhybopsis gelida,pelagophilic,Open,Open,Warm,3.3,0.4,INV,9,2,3.5,2000,2,Spring-Summer,MF,sand-gravel,med-large,5.8,0.285714286,4,0.206896552,0.137931034,0.172413793,0.137931034,0.25862069,0.120689655
